article_title,article_link,article_date,article_id
Inside Harvard’s COVID tracing effort,https://news.harvard.edu/gazette/story/2020/09/harvard-rolls-out-contact-tracing-effort/,"September 10, 2020",harvard_16
Students use computational biology to confront COVID-19,https://news.harvard.edu/gazette/story/2020/09/undergrads-creating-antiviral-treatment-for-covid-19/,"September 9, 2020",harvard_17
Far-out findings from the cosmos,https://news.harvard.edu/gazette/story/2020/09/cfa-research-on-twin-suns-oumuamua-betelgeuse/,"September 4, 2020",harvard_18
Imagine clothing that stretches or shrinks to fit you,https://news.harvard.edu/gazette/story/2020/09/a-textile-that-can-change-and-remember-its-shape/,"September 4, 2020",harvard_19
Differing diets of bonobo groups offer insights into how culture is created,https://news.harvard.edu/gazette/story/2020/09/bonobo-prey-preference-as-potential-sign-of-culture/,"September 1, 2020",harvard_20
Where the wild things are — now that humans are locked down,https://news.harvard.edu/gazette/story/2020/08/covid-lockdown-offers-insight-into-human-wildlife-interactions/,"August 31, 2020",harvard_21
"Synthetic lining in small intestine may help treat diabetes, obesity",https://news.harvard.edu/gazette/story/2020/08/synthetic-lining-offers-better-drug-delivery-to-small-intestine/,"August 26, 2020",harvard_22
Cutting surgical robots down to size,https://news.harvard.edu/gazette/story/2020/08/engineers-bring-surgical-robots-down-to-microscale-size/,"August 25, 2020",harvard_23
How caffeine changed the world,https://news.harvard.edu/gazette/story/2020/08/author-michael-pollan-discusses-how-caffeine-changed-the-world/,"August 20, 2020",harvard_24
Putting a crown on OMNIVAX,https://news.harvard.edu/gazette/story/2020/08/vaccine-strategy-could-aid-in-covid-19-immunization/,"August 19, 2020",harvard_25
7 million face shields and counting,https://news.harvard.edu/gazette/story/2020/08/wyss-institutes-improved-face-shield-design-hits-7m-mark/,"August 17, 2020",harvard_26
Quieting the storm,https://news.harvard.edu/gazette/story/2020/08/study-reveals-acupuncture-affects-disease-course/,"August 12, 2020",harvard_27
Linking sight and movement,https://news.harvard.edu/gazette/story/2020/08/harvard-scientists-find-vision-relates-to-movement/,"August 11, 2020",harvard_28
A new way to target resistant cancer,https://news.harvard.edu/gazette/story/2020/08/resistant-cancer-cells-can-be-targeted-for-elimination/,"August 7, 2020",harvard_29
Pandemic academics,https://news.harvard.edu/gazette/story/2020/10/hands-on-lessons-are-at-the-crux-of-new-harvard-course/,"October 13, 2020",harvard_30
Deep learning takes on synthetic biology,https://news.harvard.edu/gazette/story/2020/10/analyzing-toehold-sequences-for-synthetic-biology/,"October 7, 2020",harvard_31
A timeline on the evolution of reptiles,https://news.harvard.edu/gazette/story/2020/10/new-timeline-on-reptile-evolution-rebuts-long-held-theories/,"October 6, 2020",harvard_32
"Six-year deluge linked to Spanish flu, World War I deaths",https://news.harvard.edu/gazette/story/2020/10/study-offers-clues-to-how-climate-affected-1918-pandemic/,"October 5, 2020",harvard_33
Interplanetary storm chasing,https://news.harvard.edu/gazette/story/2020/10/3d-model-seeks-to-explain-mysterious-hexagon-storm-on-saturn/,"October 5, 2020",harvard_34
How cells sort themselves,https://news.harvard.edu/gazette/story/2020/10/signaling-mechanism-allows-chaotic-cells-to-self-organize/,"October 2, 2020",harvard_35
When it hits 100 degrees in Siberia …,https://news.harvard.edu/gazette/story/2020/09/harvard-climate-change-expert-discusses-extreme-heat/,"September 30, 2020",harvard_36
Infection detection,https://news.harvard.edu/gazette/story/2020/09/new-tool-offers-insights-into-antibody-response-to-covid-19/,"September 29, 2020",harvard_37
A model of how museums can share their collections more widely,https://news.harvard.edu/gazette/story/2020/09/3d-images-of-19th-century-glass-marine-invertebrates-go-online/,"September 28, 2020",harvard_38
A map of the human heart,https://news.harvard.edu/gazette/story/2020/09/map-of-the-human-heart-could-guide-treatments/,"September 27, 2020",harvard_39
An emergency response team for data?,https://news.harvard.edu/gazette/story/2020/09/harvard-journal-keeps-data-scientists-connected-during-covid/,"September 18, 2020",harvard_40
Your shoes were made for walking. And that may be the problem,https://news.harvard.edu/gazette/story/2020/09/curve-on-shoes-makes-walking-easier-but-may-lead-to-foot-problems/,"September 17, 2020",harvard_41
How the West became WEIRD,https://news.harvard.edu/gazette/story/2020/09/joseph-henrich-explores-weird-societies/,"September 16, 2020",harvard_42
On the clock,https://news.harvard.edu/gazette/story/2020/09/machine-learning-models-predict-mice-lifespan/,"September 15, 2020",harvard_43
Viewing flattened fossils in a new light,https://news.harvard.edu/gazette/story/2020/09/harvard-researchers-make-sense-of-ancient-fossils-using-3d/,"September 14, 2020",harvard_44
A cool first for Harvard,https://news.harvard.edu/gazette/story/2020/09/harvard-team-uses-laser-to-cool-polyatomic-molecule/,"September 11, 2020",harvard_45
Inside Harvard’s COVID tracing effort,https://news.harvard.edu/gazette/story/2020/09/harvard-rolls-out-contact-tracing-effort/,"September 10, 2020",harvard_46
Students use computational biology to confront COVID-19,https://news.harvard.edu/gazette/story/2020/09/undergrads-creating-antiviral-treatment-for-covid-19/,"September 9, 2020",harvard_47
Far-out findings from the cosmos,https://news.harvard.edu/gazette/story/2020/09/cfa-research-on-twin-suns-oumuamua-betelgeuse/,"September 4, 2020",harvard_48
Imagine clothing that stretches or shrinks to fit you,https://news.harvard.edu/gazette/story/2020/09/a-textile-that-can-change-and-remember-its-shape/,"September 4, 2020",harvard_49
Differing diets of bonobo groups offer insights into how culture is created,https://news.harvard.edu/gazette/story/2020/09/bonobo-prey-preference-as-potential-sign-of-culture/,"September 1, 2020",harvard_50
Where the wild things are — now that humans are locked down,https://news.harvard.edu/gazette/story/2020/08/covid-lockdown-offers-insight-into-human-wildlife-interactions/,"August 31, 2020",harvard_51
"Synthetic lining in small intestine may help treat diabetes, obesity",https://news.harvard.edu/gazette/story/2020/08/synthetic-lining-offers-better-drug-delivery-to-small-intestine/,"August 26, 2020",harvard_52
Cutting surgical robots down to size,https://news.harvard.edu/gazette/story/2020/08/engineers-bring-surgical-robots-down-to-microscale-size/,"August 25, 2020",harvard_53
How caffeine changed the world,https://news.harvard.edu/gazette/story/2020/08/author-michael-pollan-discusses-how-caffeine-changed-the-world/,"August 20, 2020",harvard_54
Putting a crown on OMNIVAX,https://news.harvard.edu/gazette/story/2020/08/vaccine-strategy-could-aid-in-covid-19-immunization/,"August 19, 2020",harvard_55
7 million face shields and counting,https://news.harvard.edu/gazette/story/2020/08/wyss-institutes-improved-face-shield-design-hits-7m-mark/,"August 17, 2020",harvard_56
Quieting the storm,https://news.harvard.edu/gazette/story/2020/08/study-reveals-acupuncture-affects-disease-course/,"August 12, 2020",harvard_57
Linking sight and movement,https://news.harvard.edu/gazette/story/2020/08/harvard-scientists-find-vision-relates-to-movement/,"August 11, 2020",harvard_58
A new way to target resistant cancer,https://news.harvard.edu/gazette/story/2020/08/resistant-cancer-cells-can-be-targeted-for-elimination/,"August 7, 2020",harvard_59
Emily Balskus wins $1M Waterman Award,https://news.harvard.edu/gazette/story/2020/08/emily-balskus-wins-waterman-award-with-1m-in-research-funding/,"August 5, 2020",harvard_60
How plants adapt to climate change,https://news.harvard.edu/gazette/story/2020/08/arboretum-examines-climate-changes-impact-on-maple-trees/,"August 5, 2020",harvard_61
"In a warming world, New England’s trees are storing more carbon",https://news.harvard.edu/gazette/story/2020/08/new-englands-trees-capturing-more-carbon-says-25-year-study/,"August 4, 2020",harvard_62
New species in an urban ecosystem (read: solar panel),https://news.harvard.edu/gazette/story/2020/08/never-before-seen-bacterium-found-at-arnold-arboretum/,"August 3, 2020",harvard_63
A speedier solution for molecular biomedical research,https://news.harvard.edu/gazette/story/2020/07/harvard-researchers-create-hybrid-algorithm-for-nmr-readings/,"July 24, 2020",harvard_64
This is what a scientist looks like,https://news.harvard.edu/gazette/story/2020/07/i-am-a-scientist/,"July 23, 2020",harvard_65
Forestalling food waste,https://news.harvard.edu/gazette/story/2020/07/student-developed-device-predicts-avocado-ripeness/,"July 23, 2020",harvard_66
Mystery of the missing molecules,https://news.harvard.edu/gazette/story/2020/07/cracking-the-case-of-the-missing-molecules/,"July 22, 2020",harvard_67
Getting under the skin of psoriasis,https://news.harvard.edu/gazette/story/2020/07/treatment-significantly-reduces-symptoms-of-psoriasis-in-mice/,"July 22, 2020",harvard_68
A versatile vessel for next-gen therapeutics,https://news.harvard.edu/gazette/story/2020/07/harvard-technology-to-be-commercialized-by-vesigen-therapeutics/,"July 22, 2020",harvard_69
‘Universal phenomenon’ shared by metastatic prostate tumors,https://news.harvard.edu/gazette/story/2020/07/prostate-cancers-link-to-fetal-development-of-the-gland/,"July 20, 2020",harvard_70
Getting to the bottom of goosebumps,https://news.harvard.edu/gazette/story/2020/07/the-hair-raising-reason-for-goosebumps-is-revealed/,"July 20, 2020",harvard_71
Better vaccines are in our blood,https://news.harvard.edu/gazette/story/2020/07/red-blood-cells-could-generate-immune-response-via-vaccines/,"July 13, 2020",harvard_72
When a bird brain tops Harvard students on a test,https://news.harvard.edu/gazette/story/2020/07/african-grey-parrot-outperforms-children-and-college-students/,"July 2, 2020",harvard_73
East Africa facing massive swarms of locusts,https://news.harvard.edu/gazette/story/2020/06/researchers-investigate-a-plague-of-locusts-in-east-africa/,"June 30, 2020",harvard_74
Is air conditioning helping spread COVID in the South?,https://news.harvard.edu/gazette/story/2020/06/air-conditioning-may-be-factor-in-covid-19-spread-in-the-south/,"June 29, 2020",harvard_75
An expedition at the Arboretum,https://news.harvard.edu/gazette/story/2020/06/expeditions-app-puts-arnold-arboretum-in-the-palm-of-your-hand/,"June 29, 2020",harvard_76
Nanofiber protects against extreme temperatures and projectiles,https://news.harvard.edu/gazette/story/2020/06/new-nanofiber-protects-against-extreme-temperatures-projectiles/,"June 29, 2020",harvard_77
Lockdown? What lockdown?,https://news.harvard.edu/gazette/story/2020/06/data-shows-americans-moving-around-at-near-pre-pandemic-rates/,"June 24, 2020",harvard_78
Microbes might manage your cholesterol,https://news.harvard.edu/gazette/story/2020/06/the-connection-between-microbes-and-cholesterol-levels/,"June 24, 2020",harvard_79
Finding COVID clues in movement,https://news.harvard.edu/gazette/story/2020/06/tracking-mobility-of-individuals-offers-clues-to-finding-covid/,"June 23, 2020",harvard_80
Wyss Institute to accelerate drug testing for COVID treatment,https://news.harvard.edu/gazette/story/2020/06/darpa-taps-wyss-technology-to-id-drugs-for-covid-19-treatment/,"June 16, 2020",harvard_81
State of stasis,https://news.harvard.edu/gazette/story/2020/06/neurons-that-control-hibernation-like-behavior-are-discovered/,"June 11, 2020",harvard_82
An engineering approach to shape neuronal connections,https://news.harvard.edu/gazette/story/2020/06/researchers-restore-neural-connections-in-zebra-fish/,"June 8, 2020",harvard_83
A promise to a friend,https://news.harvard.edu/gazette/story/2020/06/gene-editing-may-be-a-path-to-restore-partial-hearing/,"June 5, 2020",harvard_84
The origin of things,https://news.harvard.edu/gazette/story/2020/06/synthetic-microbial-system-developed-to-find-objects-origin/,"June 4, 2020",harvard_85
"Sleep, death, and… the gut?",https://news.harvard.edu/gazette/story/2020/06/study-reveals-guts-role-in-causing-death-by-sleep-deprivation/,"June 4, 2020",harvard_86
A new threat to bees,https://news.harvard.edu/gazette/story/2020/06/harvard-bee-experts-discuss-the-murder-hornet-threat/,"June 3, 2020",harvard_87
Horizontal helper,https://news.harvard.edu/gazette/story/2020/06/new-research-explores-horizontal-gene-transfer/,"June 2, 2020",harvard_88
Filling gaps in our understanding of how cities began to rise,https://news.harvard.edu/gazette/story/2020/05/genetic-research-offers-insight-into-rise-of-first-cities/,"May 29, 2020",harvard_89
Gut microbiome influences ALS outcomes,https://news.harvard.edu/gazette/story/2020/05/harvard-scientists-identify-gut-brain-connection-in-als/,"May 13, 2020",harvard_90
Water beast,https://news.harvard.edu/gazette/story/2020/04/new-paper-suggests-spinosaurus-may-have-been-aquatic/,"April 29, 2020",harvard_91
CRISPR-based technology spots COVID-19,https://news.harvard.edu/gazette/story/2020/04/new-technology-could-provide-rapid-detection-of-covid-19/,"April 29, 2020",harvard_92
When tectonic plates began to shift,https://news.harvard.edu/gazette/story/2020/04/modern-like-tectonic-plate-motion-on-the-early-earth/,"April 28, 2020",harvard_93
Wyss-designed swabs enter human trials for COVID-19,https://news.harvard.edu/gazette/story/2020/04/wyss-designed-swabs-enter-human-trials-for-covid-19/,"April 28, 2020",harvard_94
"In a photo of a black hole, a possible key to mysteries",https://news.harvard.edu/gazette/story/2020/04/black-hole-imaging/,"April 17, 2020",harvard_95
Toward an unhackable quantum internet,https://news.harvard.edu/gazette/story/2020/04/researchers-demonstrate-the-missing-link-for-a-quantum-internet/,"April 14, 2020",harvard_96
Students come together with Congregate,https://news.harvard.edu/gazette/story/2020/04/seas-students-develop-customized-videoconferencing-platform/,"April 10, 2020",harvard_97
‘Faster protection with less material’,https://news.harvard.edu/gazette/story/2020/04/how-a-new-vaccine-adjuvant-might-shorten-race-to-covid-19-immunity/,"April 9, 2020",harvard_98
Scientists map human protein interactions,https://news.harvard.edu/gazette/story/2020/04/scientists-produce-a-reference-map-of-human-protein-interactions/,"April 8, 2020",harvard_99
Design School turns 3D printers into PPE producers,https://news.harvard.edu/gazette/story/2020/04/graduate-school-of-design-begins-ppe-production-for-area-hospitals/,"April 7, 2020",harvard_100
"Facing a pandemic, Broad does a quick pivot",https://news.harvard.edu/gazette/story/2020/03/broad-institute-races-to-enable-coronavirus-testing/,"March 30, 2020",harvard_101
Capabilities of CRISPR gene editing expanded,https://news.harvard.edu/gazette/story/2020/03/removing-the-constraining-requirements-at-gene-editing-site/,"March 26, 2020",harvard_102
Learning from recovery,https://news.harvard.edu/gazette/story/2020/03/the-whys-behind-covid-19-survival-and-immunity-investigated/,"March 25, 2020",harvard_103
‘There will be cascading failures that get fixed on the fly’,https://news.harvard.edu/gazette/story/2020/03/remote-work-will-stress-test-the-internet-and-parts-will-fail/,"March 18, 2020",harvard_104
Genetic control of collective behavior,https://news.harvard.edu/gazette/story/2020/03/study-connects-specific-genes-with-defective-social-behavior/,"March 13, 2020",harvard_105
Blood biopsies offer early warning of cancer’s return,https://news.harvard.edu/gazette/story/2020/03/personalized-blood-biopsies-may-provide-signal-of-cancer-recurrence/,"March 13, 2020",harvard_106
i3 Center formed for advancing cancer immunotherapy,https://news.harvard.edu/gazette/story/2020/03/nih-funded-i3-center-formed-to-advance-cancer-immunotherapy/,"March 6, 2020",harvard_107
Was Darwin first? Kind of depends,https://news.harvard.edu/gazette/story/2020/03/was-charles-darwin-first-kind-of-depends/,"March 5, 2020",harvard_108
"A great civilization brought low by climate change (and, no, it’s not us)",https://news.harvard.edu/gazette/story/2020/02/new-clues-about-how-and-why-the-maya-culture-collapsed/,"February 28, 2020",harvard_109
From YouTube to your school,https://news.harvard.edu/gazette/story/2020/02/online-demos-can-be-as-effective-as-classroom-teaching/,"February 28, 2020",harvard_110
What the nose knows,https://news.harvard.edu/gazette/story/2020/02/how-scent-emotion-and-memory-are-intertwined-and-exploited/,"February 27, 2020",harvard_111
"From ancient flooding, modern insights",https://news.harvard.edu/gazette/story/2020/02/ancient-records-of-bering-strait-flooding-offer-fresh-insights/,"February 26, 2020",harvard_112
"The good, bad, and scary of the Internet of Things",https://news.harvard.edu/gazette/story/2020/02/how-regulation-can-minimize-online-risk/,"February 25, 2020",harvard_113
Food that’s better for all of us and the planet,https://news.harvard.edu/gazette/story/2020/02/food-summit-examines-sustainability-health-and-justice/,"February 20, 2020",harvard_114
Beyond Pavlov,https://news.harvard.edu/gazette/story/2020/02/ai-researchers-share-data-on-how-we-sort-options-make-decisions/,"February 19, 2020",harvard_115
The ‘right’ diet,https://news.harvard.edu/gazette/story/2020/02/new-class-of-enzymes-could-lead-to-bespoke-diets-therapeutics/,"February 18, 2020",harvard_116
A crisper CRISPR,https://news.harvard.edu/gazette/story/2020/02/how-crispr-technology-is-advancing/,"February 14, 2020",harvard_117
Going where the diversity is,https://news.harvard.edu/gazette/story/2020/02/panama-expedition-reveals-how-species-persevere-under-climate-change/,"February 12, 2020",harvard_118
New details about mumps outbreaks of 2016‒17,https://news.harvard.edu/gazette/story/2020/02/the-story-behind-the-mumps-outbreaks-of-2016-17/,"February 11, 2020",harvard_119
Getting the brain’s attention,https://news.harvard.edu/gazette/story/2020/02/new-evidence-that-shows-how-the-brain-makes-decisions/,"February 7, 2020",harvard_120
How I hacked the government (it was easier than you may think),https://news.harvard.edu/gazette/story/2020/02/why-an-undergrad-flooded-government-websites-with-bot-comments/,"February 6, 2020",harvard_121
Collaboration generates most complete cancer genome map,https://news.harvard.edu/gazette/story/2020/02/big-step-toward-identifying-all-cancer-causing-genetic-mutations/,"February 5, 2020",harvard_122
Evaluating the hidden risks of herbicides,https://news.harvard.edu/gazette/story/2020/02/evaluating-hidden-risks-of-herbicides-over-multiple-generations/,"February 4, 2020",harvard_123
Filling in the blanks of evolution,https://news.harvard.edu/gazette/story/2020/02/harvard-researchers-examine-how-mammal-spines-evolve/,"February 3, 2020",harvard_124
Hidden hearing loss revealed,https://news.harvard.edu/gazette/story/2020/01/why-it-may-be-hard-to-follow-conversations-in-noisy-environments/,"January 31, 2020",harvard_125
Jeté into an ionic bond,https://news.harvard.edu/gazette/story/2020/01/how-a-grad-student-choreographs-life-in-science-and-art/,"January 30, 2020",harvard_126
Translating black holes to the public — in 25 languages,https://news.harvard.edu/gazette/story/2020/01/astrophysicist-works-to-make-science-understandable/,"January 28, 2020",harvard_127
Life’s Frankenstein monster beginnings,https://news.harvard.edu/gazette/story/2020/01/study-likens-earths-evolution-to-creation-of-frankensteins-monster/,"January 28, 2020",harvard_128
Next generation of organ-on-chip has arrived,https://news.harvard.edu/gazette/story/2020/01/human-body-on-chip-platform-may-speed-up-drug-development/,"January 27, 2020",harvard_129
"Feel like kids, spouse, work giving you gray hair? They may be",https://news.harvard.edu/gazette/story/2020/01/new-findings-suggest-how-stress-may-trigger-gray-hair/,"January 22, 2020",harvard_130
Finding new land-management lessons in old ways,https://news.harvard.edu/gazette/story/2020/01/historical-view-reshapes-beliefs-about-colonization/,"January 20, 2020",harvard_131
The next decade in science,https://news.harvard.edu/gazette/story/2020/01/wyss-researchers-predict-biggest-scientific-advances-of-2020s/,"January 13, 2020",harvard_132
Study looks to genome editing to treat deadly degenerative disorder,https://news.harvard.edu/gazette/story/2020/01/major-study-on-duchenne-muscular-dystrophy-gains-support/,"January 9, 2020",harvard_133
Backbone of success,https://news.harvard.edu/gazette/story/2020/01/researchers-unveil-stem-cell-models-of-human-spine-development/,"January 8, 2020",harvard_134
New hope for sensory calm,https://news.harvard.edu/gazette/story/2020/01/treatments-for-touch-hypersensitivity-explored-in-new-research/,"January 8, 2020",harvard_135
The giant in our stars,https://news.harvard.edu/gazette/story/2020/01/largest-gaseous-structure-ever-seen-in-our-galaxy-is-discovered/,"January 7, 2020",harvard_136
Catching lightning in a bottle,https://news.harvard.edu/gazette/story/2019/12/ultracold-environment-offers-a-first-look-at-a-chemical-reaction/,"December 20, 2019",harvard_137
Power play,https://news.harvard.edu/gazette/story/2019/12/architect-designs-a-playground-for-social-development/,"December 20, 2019",harvard_138
Helping to uncover the mechanism controlling brain states,https://news.harvard.edu/gazette/story/2019/12/uncovering-the-switch-that-controls-brain-state/,"December 18, 2019",harvard_139
The power of positive phrasing,https://news.harvard.edu/gazette/story/2019/12/papers-that-use-positive-words-in-headlines-likelier-to-be-cited/,"December 16, 2019",harvard_140
Living hydrogel can help heal intestinal wounds,https://news.harvard.edu/gazette/story/2019/12/a-probiotic-therapy-for-patients-with-inflammatory-bowel-disease/,"December 6, 2019",harvard_141
Who’s that girl?,https://news.harvard.edu/gazette/story/2019/12/gender-equality-can-shape-mens-ability-to-recognize-famous-females/,"December 5, 2019",harvard_142
"A platform for stable quantum computing, a playground for exotic physics",https://news.harvard.edu/gazette/story/2019/12/researchers-find-a-platform-for-stable-quantum-computing/,"December 5, 2019",harvard_143
"Speeding cell, gene therapy development",https://news.harvard.edu/gazette/story/2019/11/partnership-aims-to-accelerate-cell-and-gene-therapy/,"November 25, 2019",harvard_144
Chinese botanists hit trail with Arboretum,https://news.harvard.edu/gazette/story/2019/11/arboretum-welcomes-botanists-from-china-for-inaugural-expedition/,"November 20, 2019",harvard_145
Where we get our sense of direction,https://news.harvard.edu/gazette/story/2019/11/researchers-discover-whats-behind-a-sense-of-direction/,"November 20, 2019",harvard_146
"The archaeology of plaque (yes, plaque)",https://news.harvard.edu/gazette/story/2019/11/researcher-looks-at-plaque-to-gain-insight-about-the-past/,"November 19, 2019",harvard_147
Predicting sudden cardiac death,https://news.harvard.edu/gazette/story/2019/11/preventing-sudden-cardiac-death-through-gene-sequencing/,"November 16, 2019",harvard_148
"New laser paves way for better imaging, communications",https://news.harvard.edu/gazette/story/2019/11/new-laser-hits-mark-on-cancer-imaging-to-airport-security/,"November 15, 2019",harvard_149
"Physics, real and fictional",https://news.harvard.edu/gazette/story/2019/11/how-humans-sense-of-intuitive-physics-touches-fictional-worlds/,"November 14, 2019",harvard_150
A second look at evolution,https://news.harvard.edu/gazette/story/2019/11/mammalian-vertebral-columns-may-reflect-pace-of-evolution/,"November 14, 2019",harvard_151
Faster testing for illicit drugs,https://news.harvard.edu/gazette/story/2019/11/new-drug-detecting-tool-could-help-save-lives/,"November 13, 2019",harvard_152
A better candidate for chemo delivery,https://news.harvard.edu/gazette/story/2019/11/better-delivery-system-for-sending-chemo-to-cancerous-lung-tissue/,"November 13, 2019",harvard_153
Survival of the fittest takes a hit,https://news.harvard.edu/gazette/story/2019/11/evolution-more-complex-than-survival-of-the-fittest-had-us-believe/,"November 13, 2019",harvard_154
"If it ain’t broke, don’t fix it",https://news.harvard.edu/gazette/story/2019/11/how-the-brain-regulates-variability-in-motor-functions/,"November 7, 2019",harvard_155
Combination gene therapy treats age-related diseases,https://news.harvard.edu/gazette/story/2019/11/researchers-able-to-improve-reverse-age-related-diseases-in-mice/,"November 4, 2019",harvard_156
First in flight: RoboBee powered by soft muscles,https://news.harvard.edu/gazette/story/2019/11/first-flight-of-robobee-powered-by-soft-muscles/,"November 4, 2019",harvard_157
Toll of climate change on workers,https://news.harvard.edu/gazette/story/2019/11/researcher-analyzes-effects-of-climate-change-on-productivity/,"November 1, 2019",harvard_158
A clue to biodiversity?,https://news.harvard.edu/gazette/story/2019/10/gene-flow-between-butterfly-species-offers-clue-to-biodiversity/,"October 31, 2019",harvard_159
Riding the quantum computing ‘wave’,https://news.harvard.edu/gazette/story/2019/10/harvard-weighs-in-on-googles-quantum-supremacy/,"October 29, 2019",harvard_160
Power and pitfalls of gene editing,https://news.harvard.edu/gazette/story/2019/10/radcliffe-symposium-examines-rapid-advances-brought-by-crispr/,"October 28, 2019",harvard_161
Inspired by jumping spiders,https://news.harvard.edu/gazette/story/2019/10/a-depth-sensor-inspired-by-the-way-spiders-eye-flies/,"October 28, 2019",harvard_162
A rose by any other name — could be confusing,https://news.harvard.edu/gazette/story/2019/10/how-new-plant-species-get-their-names/,"October 25, 2019",harvard_163
Both marathoner and sprinter,https://news.harvard.edu/gazette/story/2019/10/built-for-distance-and-speed-tunabot-can-illuminate-how-fish-move/,"October 23, 2019",harvard_164
My three suns,https://news.harvard.edu/gazette/story/2019/10/discovery-of-object-with-multiple-stars-offers-an-opportunity-for-insight-into-our-own-planet/,"October 23, 2019",harvard_165
Learning apps for parents that help kids,https://news.harvard.edu/gazette/story/2019/10/educational-programs-promote-and-guide-interactions-that-foster-childrens-literacy-development/,"October 22, 2019",harvard_166
Defending science in a post-fact era,https://news.harvard.edu/gazette/story/2019/10/in-why-trust-science-naomi-oreskes-explains-why-the-process-of-proof-is-worth-trusting/,"October 22, 2019",harvard_167
Genome editing with precision,https://news.harvard.edu/gazette/story/2019/10/new-crispr-genome-editing-system-can-target-disease-causing-genetic-variations/,"October 21, 2019",harvard_168
Real texture for lab-grown meat,https://news.harvard.edu/gazette/story/2019/10/lab-grown-meat-gains-muscle-as-it-moves-from-petri-dish-to-dinner-plate/,"October 21, 2019",harvard_169
Scientists pinpoint neural activity’s role in human longevity,https://news.harvard.edu/gazette/story/2019/10/nervous-system-activity-might-influence-human-longevity-neural-activity/,"October 16, 2019",harvard_170
A reliable clock for your microbiome,https://news.harvard.edu/gazette/story/2019/10/creating-a-reliable-clock-to-track-changes-in-microbiome/,"October 11, 2019",harvard_171
CRISPR enzyme programmed to kill viruses in human cells,https://news.harvard.edu/gazette/story/2019/10/researchers-can-program-a-crispr-enzyme-to-kill-viruses-in-human-cells/,"October 10, 2019",harvard_172
Unhidden figures,https://news.harvard.edu/gazette/story/2019/10/conference-encourages-women-of-color-to-pursue-doctorates-in-physics/,"October 7, 2019",harvard_173
Is technology evil?,https://news.harvard.edu/gazette/story/2019/10/hubweek-panel-explores-ethics-in-the-digital-world/,"October 3, 2019",harvard_174
Red flags rise on global warming and the seas,https://news.harvard.edu/gazette/story/2019/10/urgency-of-climate-change-may-be-understated-in-intergovernmental-panel-report/,"October 2, 2019",harvard_175
Tiny tweezers,https://news.harvard.edu/gazette/story/2019/10/harvard-scientists-use-optical-tweezers-to-capture-ultracold-molecules/,"October 2, 2019",harvard_176
The shape-shifting of things to come,https://news.harvard.edu/gazette/story/2019/10/shape-shifting-structures-can-take-the-form-of-a-face-antenna/,"October 2, 2019",harvard_177
First video of viruses assembling,https://news.harvard.edu/gazette/story/2019/10/first-video-of-viruses-assembling-released/,"October 2, 2019",harvard_178
