"","var_name","var_desc","clean_variable_desc","clean_varname","desc_lower","scale_stem"
"136","dd.gender.career","Do you think of mostly men, equal numbers of men and women, or mostly women when you think of people who have careers in STEM?","Do you think of mostly men, equal numbers of men and women, or mostly women when you think of people who have careers in STEM?","dd.gender.career","do you think of mostly men, equal numbers of men and women, or mostly women when you think of people who have careers in stem?",NA
"137","dd.important","How important is STEM to you?","How important is STEM to you?","dd.id","how important is stem to you?",NA
"138","dd.useful","How useful is STEM to you?","How useful is STEM to you?","dd.id","how useful is stem to you?",NA
"139","dd.care","How much do you care about doing well in STEM?","How much do you care about doing well in STEM?","dd.id","how much do you care about doing well in stem?",NA
"140","dd.school_1","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - My STEM related classes this year are likely to be very difficult."," My STEM related classes this year are likely to be very difficult.","dd.threat_1","my stem related classes this year are likely to be very difficult.","dd.threat"
"141","dd.school_2","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel worried about my STEM related classes this year."," I feel worried about my STEM related classes this year.","dd.threat_2","i feel worried about my stem related classes this year.","dd.threat"
"142","dd.school_3","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel stressed about my STEM related classes this year."," I feel stressed about my STEM related classes this year.","dd.threat_3","i feel stressed about my stem related classes this year.","dd.threat"
"143","dd.school_4","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel unsure about my STEM related classes this year."," I feel unsure about my STEM related classes this year.","dd.threat_4","i feel unsure about my stem related classes this year.","dd.threat"
"144","dd.school_5","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel anxious about my STEM related classes this year."," I feel anxious about my STEM related classes this year.","dd.threat_5","i feel anxious about my stem related classes this year.","dd.threat"
"145","dd.school_6","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I have the basic skills and abilities to be successful in my STEM related classes this year."," I have the basic skills and abilities to be successful in my STEM related classes this year.","dd.challenge_6","i have the basic skills and abilities to be successful in my stem related classes this year.","dd.challenge"
"146","dd.school_7","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I will be able to overcome any difficulties I experience in my STEM related classes this year."," I will be able to overcome any difficulties I experience in my STEM related classes this year.","dd.challenge_7","i will be able to overcome any difficulties i experience in my stem related classes this year.","dd.challenge"
"147","dd.school_8","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I have what it takes to handle my STEM related classes this year."," I have what it takes to handle my STEM related classes this year.","dd.challenge_8","i have what it takes to handle my stem related classes this year.","dd.challenge"
"148","dd.school_9","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I am prepared to deal with my STEM related classes this year."," I am prepared to deal with my STEM related classes this year.","dd.challenge_9","i am prepared to deal with my stem related classes this year.","dd.challenge"
"149","dd.school_10","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel confident about my STEM related classes this year."," I feel confident about my STEM related classes this year.","dd.challenge_10","i feel confident about my stem related classes this year.","dd.challenge"
"150","dd.school_11","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel connected to my peers in STEM."," I feel connected to my peers in STEM.","dd.belonging_11","i feel connected to my peers in stem.","dd.belonging"
"151","dd.school_12","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel accepted by my peers in STEM."," I feel accepted by my peers in STEM.","dd.belonging_12","i feel accepted by my peers in stem.","dd.belonging"
"152","dd.school_13","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel like an outsider among my peers in STEM."," I feel like an outsider among my peers in STEM.","dd.belonging_13R","i feel like an outsider among my peers in stem.","dd.belonging"
"153","dd.school_14","Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel invisible among my peers in STEM."," I feel invisible among my peers in STEM.","dd.belonging_14R","i feel invisible among my peers in stem.","dd.belonging"
"154","dd.major","How often do you think about changing your major to something other than STEM?","How often do you think about changing your major to something other than STEM?","dd.major","how often do you think about changing your major to something other than stem?",NA
"155","gender.belief_1","Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - Most women can make it in STEM if they try."," Most women can make it in STEM if they try.","gender.belief_1","most women can make it in stem if they try.","gender.belief"
"156","gender.belief_2","Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - The average female STEM researcher is as competent as the average male STEM researcher."," The average female STEM researcher is as competent as the average male STEM researcher.","gender.belief_2","the average female stem researcher is as competent as the average male stem researcher.","gender.belief"
"157","gender.belief_3","Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - Women have made important contributions to STEM."," Women have made important contributions to STEM.","gender.belief_3","women have made important contributions to stem.","gender.belief"
"158","gender.belief_4","Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - Gender equality has been achieved in STEM."," Gender equality has been achieved in STEM.","gender.belief_4","gender equality has been achieved in stem.","gender.belief"
"159","suspicion","What do you think the purpose of this study was?","What do you think the purpose of this study was?","suspicion","what do you think the purpose of this study was?",NA
"160","manip.gender","What was the gender of the researcher in the article?","What was the gender of the researcher in the article?","manip.gender","what was the gender of the researcher in the article?",NA
"161","manip.image","What was the image in the article?","What was the image in the article?","manip.image","what was the image in the article?",NA
"162","major","What is your major and/or intended major? (check all that apply) - Selected Choice","What is your major and/or intended major? (check all that apply) - Selected Choice","major","what is your major and/or intended major? (check all that apply) - selected choice",NA
"163","major_58_TEXT","What is your major and/or intended major? (check all that apply) - Other (please specify): - Text","What is your major and/or intended major? (check all that apply) - Other (please specify): - Text","major_58_TEXT","what is your major and/or intended major? (check all that apply) - other (please specify): - text","major_TEXT"
"164","stem.major","Which of the following majors do you consider STEM? (check all that apply) - Selected Choice","Which of the following majors do you consider STEM? (check all that apply) - Selected Choice","stem.major","which of the following majors do you consider stem? (check all that apply) - selected choice",NA
"165","stem.major_58_TEXT","Which of the following majors do you consider STEM? (check all that apply) - Other (please specify): - Text","Which of the following majors do you consider STEM? (check all that apply) - Other (please specify): - Text","stem.major_58_TEXT","which of the following majors do you consider stem? (check all that apply) - other (please specify): - text","stem.major_TEXT"
"166","semester","For how many semesters have you been a student at Rice University?","For how many semesters have you been a student at Rice University?","semester","for how many semesters have you been a student at rice university?",NA
"167","stem.classes.num","How many STEM classes have you taken at Rice University?","How many STEM classes have you taken at Rice University?","stem.classes.num","how many stem classes have you taken at rice university?",NA
"168","stem.classes.list","Please list the STEM classes you have taken at Rice University by their course number (separated by semicolons).
Example: CHEM 121; CHEM 122; PHYS 101","Please list the STEM classes you have taken at Rice University by their course number (separated by semicolons).
Example: CHEM 121; CHEM 122; PHYS 101","stem.classes.list","please list the stem classes you have taken at rice university by their course number (separated by semicolons).
example: chem 121; chem 122; phys 101",NA
"169","psych485","Are you enrolled in Psychology 485?","Are you enrolled in Psychology 485?","psych485","are you enrolled in psychology 485?",NA
"170","email","In order to compensate you for your time, please enter your email address below. This is where we will send your $10 online Amazon gift card. If you are not comfortable doing so and would instead like to remain anonymous, you may create a new gmail account to which you'd like the gift card to be sent.","In order to compensate you for your time, please enter your email address below. This is where we will send your $10 online Amazon gift card. If you are not comfortable doing so and would instead like to remain anonymous, you may create a new gmail account to which you'd like the gift card to be sent.","email","in order to compensate you for your time, please enter your email address below. this is where we will send your $10 online amazon gift card. if you are not comfortable doing so and would instead like to remain anonymous, you may create a new gmail account to which you'd like the gift card to be sent.",NA
