var_name,var_desc
selfeff_13,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I will continue to enjoy STEM."
selfeff_14,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I am not interested in a career involving STEM."
selfeff_15,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I am interested in alternative programs in STEM."
selfeff_16,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I would like to learn more about STEM."
selfeff_17,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I do not wish to continue my education in STEM."
selfeff_18,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I am committed to learning STEM."
dd.interest,"In general, how confident do you feel about your STEM performance?"
dd.graduate,How likely are you to pursue graduate study in STEM (master’s or PhD)?
dd.prof,How likely are you to pursue a professional job in STEM?
dd.gender.good,"Do you think of mostly men, equal numbers of men and women, or mostly women when you think of people who are very good at STEM?"
dd.gender.career,"Do you think of mostly men, equal numbers of men and women, or mostly women when you think of people who have careers in STEM?"
dd.important,How important is STEM to you?
dd.useful,How useful is STEM to you?
dd.care,How much do you care about doing well in STEM?
dd.school_1,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - My STEM related classes this year are likely to be very difficult."
dd.school_2,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel worried about my STEM related classes this year."
dd.school_3,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel stressed about my STEM related classes this year."
dd.school_4,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel unsure about my STEM related classes this year."
dd.school_5,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel anxious about my STEM related classes this year."
dd.school_6,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I have the basic skills and abilities to be successful in my STEM related classes this year."
dd.school_7,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I will be able to overcome any difficulties I experience in my STEM related classes this year."
dd.school_8,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I have what it takes to handle my STEM related classes this year."
dd.school_9,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I am prepared to deal with my STEM related classes this year."
dd.school_10,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel confident about my STEM related classes this year."
dd.school_11,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel connected to my peers in STEM."
dd.school_12,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel accepted by my peers in STEM."
dd.school_13,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel like an outsider among my peers in STEM."
dd.school_14,"Please indicate the extent to which you agree or disagree with each item below. Note: STEM = Science, Technology, Engineering, Math. - I feel invisible among my peers in STEM."
dd.major,How often do you think about changing your major to something other than STEM?
gender.belief_1,"Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - Most women can make it in STEM if they try."
gender.belief_2,"Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - The average female STEM researcher is as competent as the average male STEM researcher."
gender.belief_3,"Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - Women have made important contributions to STEM."
gender.belief_4,"Please indicate the extent to which you agree or disagree with each item
 below. Note: STEM = Science, Technology, Engineering, Math. - Gender equality has been achieved in STEM."
suspicion,What do you think the purpose of this study was?
manip.gender,What was the gender of the researcher in the article?
manip.image,What was the image in the article?
major,What is your major and/or intended major? (check all that apply) - Selected Choice
major_58_TEXT,What is your major and/or intended major? (check all that apply) - Other (please specify): - Text
stem.major,Which of the following majors do you consider STEM? (check all that apply) - Selected Choice
stem.major_58_TEXT,Which of the following majors do you consider STEM? (check all that apply) - Other (please specify): - Text
semester,For how many semesters have you been a student at Rice University?
stem.classes.num,How many STEM classes have you taken at Rice University?
stem.classes.list,"Please list the STEM classes you have taken at Rice University by their course number (separated by semicolons).
Example: CHEM 121; CHEM 122; PHYS 101"
psych485,Are you enrolled in Psychology 485?
email,"In order to compensate you for your time, please enter your email address below. This is where we will send your $10 online Amazon gift card. If you are not comfortable doing so and would instead like to remain anonymous, you may create a new gmail account to which you'd like the gift card to be sent."
